Student_ID,Name,Gender,Class,Math,Science,English,Computer,Social_Studies
1001,Student_1,Male,11A,50,76,97,88,92
1002,Student_2,Female,11A,71,59,75,82,49
1003,Student_3,Male,12B,58,75,36,80,76
1004,Student_4,Male,11B,60,75,62,75,52
1005,Student_5,Male,11A,54,37,50,75,72
1006,Student_6,Female,12A,43,77,93,95,98
1007,Student_7,Male,11A,63,80,35,45,63
1008,Student_8,Male,12A,65,91,35,78,44
1009,Student_9,Male,11A,53,85,65,66,51
1010,Student_10,Female,12A,54,39,56,83,66
1011,Student_11,Male,11A,61,49,93,40,95
1012,Student_12,Male,11A,78,73,62,91,80
1013,Student_13,Male,10B,69,72,61,40,90
1014,Student_14,Male,12A,56,73,35,81,95
1015,Student_15,Female,12A,49,86,36,97,78
1016,Student_16,Male,12A,47,37,100,83,72
1017,Student_17,Female,10A,38,63,83,56,84
1018,Student_18,Female,11A,90,65,53,53,66
1019,Student_19,Female,12A,57,100,62,89,87
1020,Student_20,Male,12B,68,79,73,68,82
1021,Student_21,Female,10A,51,56,53,75,35
1022,Student_22,Male,10B,62,44,98,41,64
1023,Student_23,Female,12A,48,55,92,91,43
1024,Student_24,Female,12A,68,51,51,50,67
1025,Student_25,Female,10A,91,41,75,93,60
1026,Student_26,Female,11A,89,70,39,72,76
1027,Student_27,Female,12B,100,64,57,43,76
1028,Student_28,Female,10B,71,63,44,68,73
1029,Student_29,Female,12A,60,67,46,80,95
1030,Student_30,Female,11A,95,93,44,71,81
1031,Student_31,Male,12B,86,54,94,77,76
1032,Student_32,Male,12B,52,63,64,81,82
1033,Student_33,Female,10B,87,87,58,40,86
1034,Student_34,Female,11B,97,35,47,72,67
1035,Student_35,Female,12B,87,68,43,95,61
1036,Student_36,Male,11B,61,78,52,38,77
1037,Student_37,Female,12B,65,48,69,39,63
1038,Student_38,Male,10B,35,71,38,94,53
1039,Student_39,Male,10A,40,69,75,90,62
1040,Student_40,Male,10B,45,93,60,93,44
1041,Student_41,Male,10B,68,58,78,41,50
1042,Student_42,Male,10A,97,99,76,65,35
1043,Student_43,Female,10A,87,40,44,82,38
1044,Student_44,Female,11A,52,72,35,76,38
1045,Student_45,Female,12B,55,35,88,64,54
1046,Student_46,Female,11A,53,75,50,85,97
1047,Student_47,Female,10A,38,65,80,69,69
1048,Student_48,Male,11B,63,70,47,96,79
1049,Student_49,Female,11B,59,88,98,85,91
1050,Student_50,Female,10B,90,65,89,84,58
1051,Student_51,Male,12A,97,63,97,64,54
1052,Student_52,Female,10B,61,37,52,53,62
1053,Student_53,Male,10B,94,92,95,84,72
1054,Student_54,Female,12A,83,95,54,88,58
1055,Student_55,Male,12B,99,40,99,38,58
1056,Student_56,Female,10A,72,54,98,46,59
1057,Student_57,Female,11B,86,95,98,49,51
1058,Student_58,Male,10B,35,80,47,49,92
1059,Student_59,Male,12A,74,47,91,44,54
1060,Student_60,Male,11A,55,57,79,95,36
1061,Student_61,Male,10B,49,65,72,53,43
1062,Student_62,Male,11B,84,38,88,87,97
1063,Student_63,Male,10A,82,100,70,91,40
1064,Student_64,Male,10B,66,50,45,43,45
1065,Student_65,Male,10B,83,65,61,63,55
1066,Student_66,Female,12B,79,82,51,41,97
1067,Student_67,Female,12A,66,77,67,51,64
1068,Student_68,Male,11A,38,38,39,50,55
1069,Student_69,Female,11A,99,96,96,72,57
1070,Student_70,Female,10A,99,82,99,81,95
1071,Student_71,Female,11B,52,62,78,44,64
1072,Student_72,Female,10A,88,50,48,58,80
1073,Student_73,Male,10B,81,64,91,84,94
1074,Student_74,Female,10B,40,99,82,77,52
1075,Student_75,Male,11A,100,48,51,71,96
1076,Student_76,Female,11B,43,68,78,79,79
1077,Student_77,Female,12A,57,90,38,88,95
1078,Student_78,Female,11B,77,63,64,77,93
1079,Student_79,Male,10B,85,59,89,71,69
1080,Student_80,Female,12A,59,100,64,75,56
1081,Student_81,Male,11B,69,74,52,35,58
1082,Student_82,Female,11B,51,49,78,50,85
1083,Student_83,Male,12A,52,66,96,71,99
1084,Student_84,Female,10B,61,54,65,71,49
1085,Student_85,Male,11B,49,87,50,41,62
1086,Student_86,Male,12A,49,83,57,74,76
